filename,aspectRatio,extent,solidity,equiDIa,angle,len_contours,label
pakMuttaqin0.0.png,2.63,2.88,0.6,572,84.35,862,0
pakMuttaqin0.1.png,2.63,2.88,0.6,572,84.35,862,0
pakMuttaqin0.2.png,2.63,2.88,0.6,572,84.35,862,0
pakMuttaqin0.3.png,2.63,2.88,0.6,572,84.35,862,0
pakMuttaqin0.4.png,2.63,2.88,0.6,572,84.35,862,0
pakMuttaqin0.png,2.0,3.35,0.53,697,83.55,1645,0
pakMuttaqin1.0.png,1.99,3.46,0.52,679,81.91,1625,0
pakMuttaqin1.1.png,1.91,3.41,0.53,675,84.25,1682,0
pakMuttaqin1.2.png,1.86,3.38,0.53,655,82.9,1604,0
pakMuttaqin1.3.png,1.81,3.38,0.53,660,83.15,1626,0
pakMuttaqin1.4.png,1.85,3.39,0.53,654,83.23,1598,0
pakMuttaqin1.png,2.0,3.46,0.52,686,83.95,1555,0
bukUlfa0.0.png,1.23,1.36,0.98,211,55.19,200,1
bukUlfa0.1.png,1.23,1.36,0.98,211,55.19,200,1
bukUlfa0.2.png,1.23,1.36,0.98,211,55.19,200,1
bukUlfa0.3.png,1.23,1.36,0.98,211,55.19,200,1
bukUlfa0.4.png,1.23,1.36,0.98,211,55.19,200,1
bukUlfa0.png,1.51,1.56,0.98,268,62.58,367,1
bukUlfa1.0.png,2.16,1.69,0.77,737,84.51,1354,1
bukUlfa1.1.png,1.98,1.68,0.77,724,83.94,1248,1
bukUlfa1.2.png,2.11,1.58,0.78,724,83.79,1268,1
bukUlfa1.3.png,2.2,1.73,0.76,777,84.81,1476,1
bukUlfa1.4.png,2.01,1.72,0.74,857,84.27,1670,1
bukUlfa1.png,2.57,1.73,0.73,844,83.81,2010,1
bukDiah0.0.png,1.7,1.69,0.78,797,92.45,1032,2
bukDiah0.1.png,1.7,1.69,0.78,797,92.45,1032,2
bukDiah0.2.png,1.7,1.69,0.78,797,92.45,1032,2
bukDiah0.3.png,1.7,1.69,0.78,797,92.45,1032,2
bukDiah0.4.png,1.7,1.69,0.78,797,92.45,1032,2
bukDiah0.png,2.0,1.72,0.76,974,92.28,1350,2
bukDiah1.0.png,1.74,1.51,0.76,969,101.12,1410,2
bukDiah1.1.png,1.78,1.51,0.76,978,100.97,1352,2
bukDiah1.2.png,1.62,1.36,0.8,988,101.0,965,2
bukDiah1.3.png,1.95,1.42,0.78,1059,97.7,1297,2
bukDiah1.4.png,1.6,1.64,0.75,891,94.17,1102,2
bukDiah1.png,2.08,1.43,0.82,888,98.79,1061,2
pakWanda0.0.png,1.55,1.86,0.8,630,92.24,954,3
pakWanda0.1.png,1.55,1.86,0.8,630,92.24,954,3
pakWanda0.2.png,1.55,1.86,0.8,630,92.24,954,3
pakWanda0.3.png,1.55,1.86,0.8,630,92.24,954,3
pakWanda0.4.png,1.55,1.86,0.8,630,92.24,954,3
pakWanda0.png,1.16,1.07,1.0,186,87.44,117,3
pakWanda1.0.png,1.08,1.07,1.0,173,85.92,110,3
pakWanda1.1.png,1.2,1.08,1.0,181,88.06,130,3
pakWanda1.2.png,1.2,1.08,1.0,178,88.04,128,3
pakWanda1.3.png,1.25,1.09,1.0,188,88.2,140,3
pakWanda1.4.png,1.26,1.09,1.0,186,88.11,140,3
pakWanda1.png,1.28,1.08,1.0,184,88.11,130,3
bukDara0.0.png,2.11,1.87,0.82,698,97.57,782,4
bukDara0.1.png,2.11,1.87,0.82,698,97.57,782,4
bukDara0.2.png,2.11,1.87,0.82,698,97.57,782,4
bukDara0.3.png,2.11,1.87,0.82,698,97.57,782,4
bukDara0.4.png,2.11,1.87,0.82,698,97.57,782,4
bukDara0.png,2.0,1.99,0.75,905,104.14,1397,4
bukDara1.0.PNG,1.95,1.98,0.79,836,98.65,1072,4
bukDara1.1.PNG,1.93,2.07,0.76,864,101.92,1355,4
bukDara1.2.PNG,2.09,2.03,0.76,861,101.72,1332,4
bukDara1.3.PNG,1.9,2.06,0.76,864,101.31,1310,4
bukDara1.4.PNG,2.32,1.92,0.8,842,96.49,979,4
bukDara1.PNG,1.99,2.04,0.76,890,102.07,1318,4
